"Work item ID","Work type","Summary","Description","Priority","Labels","Story Points","Sprint","Parent"
"1","Epic","[E1] Project Foundation","","Medium","sidekick","","Sprint 1",""
"2","Epic","[E2] Data Layer","","Medium","sidekick","","Sprint 1",""
"3","Epic","[E3] Analysis Tools","","Medium","sidekick","","Sprint 1",""
"4","Epic","[E4] LangGraph Agent","","Medium","sidekick","","Sprint 2",""
"5","Epic","[E5] Gradio Interface","","Medium","sidekick","","Sprint 2",""
"6","Story","[S-101] Repo setup, project layout, and dependency manifest","Initialise the Git repository with a structured project layout: separate packages for agent/, tools/, data/, and ui/. Create a virtual environment and pin all dependencies in requirements.txt. Add a .env.example listing every required environment variable and a README skeleton with installation and first-run instructions.

Acceptance Criteria:
Git repo initialised with .gitignore covering .env, __pycache__, *.db, charts/.
requirements.txt pins: langgraph, anthropic, pandas, sqlalchemy, matplotlib, seaborn, gradio, python-dotenv, bcrypt.
.env.example documents: CLAUDE_API_KEY, DB_PATH, CHARTS_DIR, LOG_LEVEL.
README contains setup steps and a one-command run instruction.","Medium","sidekick e1","2","Sprint 1","1"
"7","Story","[S-102] Centralised config module and structured logging","Build a config.py module that loads all environment variables via python-dotenv and exposes typed, named settings to the rest of the app. No os.getenv calls outside this module. Add a logging setup that writes structured logs at the level set by LOG_LEVEL, so every agent decision and tool call is traceable from a single stream.

Acceptance Criteria:
config.py exposes: CLAUDE_API_KEY, DB_PATH, CHARTS_DIR, LOG_LEVEL.
Raises ValueError with a clear message if CLAUDE_API_KEY is absent at import time.
All other modules import settings exclusively from config.py.
Logging writes to stdout with timestamp, level, and module name on every entry.","Medium","sidekick e1","2","Sprint 1","1"
"8","Story","[S-201] CSV ingestion pipeline — load, validate, and persist to SQLite","Build an ingest_csv(filepath) function that reads a CSV with pandas, validates the schema, and writes it to a SQLite table via SQLAlchemy. The table name is derived from the CSV filename. If the table already exists, drop and recreate it (fresh-load semantics). Return a structured result dict so the UI can confirm success to the user. The SQLAlchemy engine is shared via a module-level singleton.

Acceptance Criteria:
ingest_csv(filepath) creates or replaces the target SQLite table.
Returns {table_name, row_count, columns: []}.
Raises a descriptive error on missing file or malformed CSV — no silent failures.
Tested end-to-end with at least one Kaggle personal finance CSV.
Engine singleton is reused across all DB calls — no duplicate connections.","High","sidekick e2","3","Sprint 1","2"
"9","Story","[S-202] run_sql and describe_schema agent tools","Implement two LangGraph-bindable tools. run_sql(query) executes a read-only SQL string against SQLite and returns up to 500 rows as a list of dicts. describe_schema() returns every table's column names, data types, and three sample rows — this is the Worker node's primary orientation tool before planning any query. Both tools are decorated with @tool and registered in the central tool registry.

Acceptance Criteria:
run_sql returns a JSON-serialisable list of dicts (max 500 rows).
Returns empty list plus a human-readable warning string for zero-result queries.
Only SELECT statements permitted — DDL/DML raises a descriptive error.
describe_schema returns {table: {columns: [], dtypes: {}, sample_rows: []}} for all tables.
Both tools decorated with @tool and present in the central tool registry.","High","sidekick e2","3","Sprint 1","2"
"10","Story","[S-301] calculate tool — pandas and numpy aggregations over the loaded DataFrame","Build a calculate(expression) tool that evaluates a pandas/numpy expression string against the in-memory DataFrame. Support: sum, mean, median, std, percentile, value_counts, groupby+agg, and filtered calculations. Guard against unsafe expressions. Return a structured error dict (never a raw Python traceback) so the Evaluator can decide whether to retry or raise a clarifying question.

Acceptance Criteria:
calculate(expression) evaluates against the loaded DataFrame and returns a JSON-serialisable scalar, list, or dict.
Handles: sum, mean, median, std, value_counts, groupby().agg(), filtered sums.
Returns {error: str, hint: str} on failure — never raises an unhandled exception.
Decorated with @tool and registered in the central tool registry.","Medium","sidekick e3","3","Sprint 1","3"
