"Work item ID","Work Type","Summary","Description","Priority","Labels","Story Points","Sprint","Parent"
"1","Epic","[E1] Project Foundation","","Medium","sidekick","","Sprint 1",""
"2","Epic","[E2] Data Layer","","Medium","sidekick","","Sprint 1",""
"3","Epic","[E3] Analysis Tools","","Medium","sidekick","","Sprint 1",""
"4","Epic","[E4] LangGraph Agent","","Medium","sidekick","","Sprint 2",""
"5","Epic","[E5] Gradio Interface","","Medium","sidekick","","Sprint 2",""
"6","Story","[S-101] Repo setup, virtual environment, and dependency manifest","Initialise the Python repository with a clean project layout. Set up a virtual environment, define all third-party dependencies in requirements.txt, and add a .env.example file listing every required environment variable. Include a README skeleton that documents how to install and run the project.

Acceptance Criteria:
Git repo initialised with .gitignore covering .env and __pycache__. requirements.txt pins: langgraph, anthropic, pandas, sqlalchemy, matplotlib, seaborn, gradio, python-dotenv. .env.example documents CLAUDE_API_KEY and DB_PATH. README contains setup and run instructions.","Medium","sidekick e1","2","Sprint 1","1"
"7","Story","[S-102] Config and secrets management module","Build a central config module that loads environment variables via python-dotenv and exposes typed settings to the rest of the application. Centralise DB path, API key, log level, and chart output directory in one place so no magic strings are scattered across the codebase.

Acceptance Criteria:
config.py loads .env on import using python-dotenv. Exposes: CLAUDE_API_KEY, DB_PATH, LOG_LEVEL, CHARTS_DIR. Raises a clear error if CLAUDE_API_KEY is missing. All other modules import settings from config.py only.","Medium","sidekick e1","2","Sprint 1","1"
"8","Story","[S-201] CSV ingestion pipeline — load, validate, and persist to SQLite","Build a reusable ingestion function that accepts a CSV file path, reads it with pandas, infers the schema, and writes the data into a SQLite table via SQLAlchemy. The table name should be derived from the CSV filename. Handle duplicate ingestion gracefully (drop-and-recreate or upsert). Log row count and column list on completion.

Acceptance Criteria:
ingest_csv(filepath) reads any well-formed CSV into a pandas DataFrame. Creates or replaces the corresponding SQLite table via SQLAlchemy. Returns a dict: {table_name, row_count, columns}. Raises a descriptive error if file is missing or malformed. Tested with at least one Kaggle finance CSV.","High","sidekick e2","3","Sprint 1","2"
"9","Story","[S-202] SQL query tool and schema introspection tool","Implement two agent-callable tools: run_sql and describe_schema. run_sql executes a parameterised SQL string against the SQLite database and returns rows as a list of dicts. describe_schema returns table names, column names, data types, and three sample rows so the LLM can orient itself before writing queries.

Acceptance Criteria:
run_sql(query) returns up to 500 rows as JSON-serialisable list of dicts. Returns empty list and a warning string for zero-result queries. describe_schema() returns {table: {columns: [...], sample_rows: [...]}} for every table in the DB. Both tools are decorated with @tool for LangGraph binding. SQL injection risk mitigated via parameterised queries.","High","sidekick e2","3","Sprint 1","2"
"10","Story","[S-301] Calculation tool — pandas and numpy expressions over the dataset","Build a calculate tool that accepts a Python expression string, evaluates it against the loaded DataFrame using pandas/numpy, and returns the result. Support aggregations (sum, mean, median, std, percentile), filtering, and group-by operations. Guard against unsafe expressions and return helpful error messages on failure.

Acceptance Criteria:
calculate(expression) evaluates pandas/numpy expression against df. Returns scalar, list, or dict — all JSON-serialisable. Handles at least: sum, mean, median, std, value_counts, groupby+agg. Returns a structured error message (not a Python traceback) on failure. Decorated with @tool for LangGraph binding.","Medium","sidekick e3","3","Sprint 1","3"
